,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Expected size of device (actual device shown, built into a portable file box)",,Conversion Factors,,,,,,,,,,,,,,,,,,,
,Project Cyan - Requirements for Distributed Carbon Capture,,,,1,MT,1,g C,,,,,,,,,,,,,,,,,
,"Dahl Winters, 1/5/2021",,,,1.10231,US tons,3.664,g CO2,https://cdiac.ess-dive.lbl.gov/pns/convert.html ,,,,,,,,,,,,,,,,
,references in Column F and at the bottom,,,,1,ton C,0.083,mol CO2,https://cdiac.ess-dive.lbl.gov/pns/convert.html ,,,,,,,,,,,,,,,,
,,,,,3.66400,tons CO2,1,L,,,,,,,,,,,,,,,,,
,Summary: A top-down analysis of how to meet a near-term climate goal via,,,,1,m3,0.03531467,ft3,,,,,,,,,,,,,,,,,
,"numerous low-cost (<$100), distributed, small-scale direct air carbon capture (DACC) devices.",,,,35.315,ft3,1,kg,,,,,,,,,,,,,,,,,
,,,,,1000,L,2.205,lb,,,,,,,,,,,,,,,,,
,Goal: Use consumer-available materials with minimal environmental impact.,Key to quantities below:,,,,,,,,,,,,,,,,,,,,,,,
,"Simple, low-cost system design that can be done at home.",Blue: Editable Inputs,,,,,,,,,,,,,,,,,,,,,,,
,,Bold: Outputs,,,,,,,,,,,,,,,,,,,,,,,
,,Bold and Italic: Important Quantities,,,,,,,,,,,,,,,,,,,,,,,
,Level of Distribution and Flow Rates Needed,,,,,,,,,,,,,,,,,,,,,,,,
,,Quantities,,Notes,Reference Links,,,,,,,,,,,,,,,,,,,,
,Dimensions of the Problem,,,,,,,,,,,,,,,,,,,,,,,,
,Mass of CO2 in metric tons to be sequestered to reach DAC goal by 2030,8.16E+06,MT CO2,equals 9 million tons by 2030 - exponential trajectory to achieving 2050 emissions goals,"https://rhg.com/research/capturing-leadership-policies-for-the-us-to-advance-direct-air-capture-technology/, https://www.youtube.com/watch?v=GvUAnX8RFmA&t=20s",,,,,,,,,,,,,,,,,,,,
,Mass of CO2 in tons needed to be sequestered to reach DAC goal by 2030,9.00E+06,tons CO2,,,,,,,,,,,,,,,,,,,,,,
,CO2 emissions reduction per year between 2020-2030 needed to reach DAC goal," 816,467 ",MT CO2,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,People Who Can Help Solve the Problem,,,,,,,,,,,,,,,,,,,,,,,,
,Number of people in America,3.32E+08,,"population as of Nov 27, 2020",https://www.worldometers.info/world-population/us-population/,,,,,,,,,,,,,,,,,,,,
,Number of people in Europe,7.48E+08,,"population as of Nov 27, 2020",http://www.worldometers.info/world-population/europe-population/,,,,,,,,,,,,,,,,,,,,
,Number of possible participants,1.08E+09,,"assumes participants are in developed countries, NA and EU",,,,,,,,,,,,,,,,,,,,,
,Fraction of people participating,0.002,,original value = 0.002 as the fraction of people participating,,,,,,,,,,,,,,,,,,,,,
,Number of participants," 2,159,260 ",,,,,,,,,,,,,,,,,,,,,,,
,Devices per person,1,,original value = 1 device per person,,,,,,,,,,,,,,,,,,,,,
,Number of devices needed ," 2,159,260 ",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Necessary Effort Per Device and CO2 Capture Rates,,,,,,,,,,,,,,,,,,,,,,,,
,Mass CO2 in metric tons per device per year needed to be sequestered,0.3781, MT CO2/year ,,,,,,,,,,,,,,,,,,,,,,
,Mass CO2 in kg needed to be captured per second,0.0000, kg CO2/second ,,,,,,,,,,,,,,,,,,,,,,
,Mass CO2 in g needed to be captured per second,0.0120, g CO2/second ,,,,,,,,,,,,,,,,,,,,,,
,Moles CO2 needed to be captured per second,0.0003, mol CO2/second ,,,,,,,,,,,,,,,,,,,,,,
,Volume of CO2 needed to be captured per second,0.0061, liters/second ,,Hemolung: 72 mL/min at flow rate of 447 mL/min: https://pubmed.ncbi.nlm.nih.gov/21317644/,,,,,,,,,,,,,,,,,,,,
,Volume of CO2 needed to be captured per minute (mL/min),365, mL/min ,as an example only; compare to the rate of dialysis machines ,dialysis: CO2 removal rates of 100 mL/min possible: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5383917/,,,,,,,,,,,,,,,,,,,,
,Pct by vol CO2 in ambient air,0.0412%, already as percent ,,https://www.engineeringtoolbox.com/air-composition-d_212.html,,,,,,,,,,,,,,,,,,,,
,Volume of air needed to get required vol of CO2 per second,14.7673, liters/second ,,,,,,,,,,,,,,,,,,,,,,
,"Volume of air needed to get required vol of CO2 per second, cubic feet",0.5215, cubic feet/second ,,,,,,,,,,,,,,,,,,,,,,
,"Volume of air needed to get required vol of CO2 per minute, cubic feet",31, cubic feet/minute ,1000 cfm = a small floor fan; 30-70 cfm = 120 mm computer fans,https://knowtheflo.com/high-cfm-fan/,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
