Item,Qty,Price,Qty for price,Per unit price,Units used,Subtotal,Link
Sterilite 2.5 Qt FlipTop[1],1,$2.28 ,1,$2.28 ,1,$2.28 ,[1] https://www.homedepot.com/p/Sterilite-2-5-Qt-Flip-Top-Box-18038612/203002006?irgwc=1&cm_mmc=afl-ir-78091-456723-&clickid=zEwUoH1OxxyLRSBwUx0Mo3ZxUkEUYIXsw0Wsyc0 
,,,,,,,
Tetra Whisper 10 Aquarium Air Pump[2],1,$5.06 ,1,$5.06 ,1,$5.06 ,[2] https://www.amazon.com/Tetra-Whisper-Easy-Aquariums-Non-UL/dp/B0009YJ4N6 
,,,,,,,
Air Tubing and Air Stone[3],1,$4.99 ,2,$2.50 ,1,$2.50 ,[3] https://www.amazon.com/gp/product/B0797QFV4D 
,,,,,,,
"Empty Sabra Hummus Container, 10 oz[4]",1,$3.34 ,1,$3.34 ,1,$3.34 ,[4] https://www.walmart.com/ip/Sabra-Roasted-Red-Pepper-Hummus-10-oz/10850131 
,,,,,,,
Lid from HDX Quart Container[5],1,$1.38 ,1,$1.38 ,1,$1.38 ,[5] https://www.homedepot.com/p/HDX-1-qt-Multi-Mix-Pail-2M3/202264024 
,,,,,,,
,,,,,,,
,,total,$17.05 ,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
