Item,Use,Qty,Price,Qty for price,Per unit price,Units used,Subtotal
Sterilite 2.5 Qt FlipTop[1],"Outer container (“humidifier box”), dimensions are 7 5/8"" x 6 1/2"" x 4 1/2""",1,$2.28 ,1,$2.28 ,1,$2.28 
,,,,,,,
Tetra Whisper 10 Aquarium Air Pump[2],"For airflow to let in CO2; needs AC outlet, 1.5 watts only",1,$5.06 ,1,$5.06 ,1,$5.06 
,,,,,,,
Air Tubing and Air Stone[3],"To disperse the air from the air pump, 3/16” diameter",1,$4.99 ,2,$2.50 ,1,$2.50 
,,,,,,,
"Empty Sabra Hummus Container, 10 oz[4]",Used for spacing; coffee filter goes on the HDX Quart lid that floats on top of this container. Could potentially remove or size down  to add more space for Ca(OH)2.,1,$3.34 ,1,$3.34 ,1,$3.34 
,,,,,,,
Lid from HDX Quart Container[5],"Has a lid that the coffee filter holding the Ca(OH)2 sits in so as not to get too wet. Also comes graduated with lines, useful for measuring and mixing materials.",1,$1.38 ,1,$1.38 ,1,$1.38 
,,,,,,,
,,,,,,,
,,total,$17.05 ,,,,
,,,,,,,
,,,,,,,
[1] https://www.homedepot.com/p/Sterilite-2-5-Qt-Flip-Top-Box-18038612/203002006?irgwc=1&cm_mmc=afl-ir-78091-456723-&clickid=zEwUoH1OxxyLRSBwUx0Mo3ZxUkEUYIXsw0Wsyc0 ,,,,,,,
[2] https://www.amazon.com/Tetra-Whisper-Easy-Aquariums-Non-UL/dp/B0009YJ4N6 ,,,,,,,
[3] https://www.amazon.com/gp/product/B0797QFV4D ,,,,,,,
[4] https://www.walmart.com/ip/Sabra-Roasted-Red-Pepper-Hummus-10-oz/10850131 ,,,,,,,
[5] https://www.homedepot.com/p/HDX-1-qt-Multi-Mix-Pail-2M3/202264024 ,,,,,,,
